,Explanation,Metric Result
0,0.0<=Nitrogen<46.67 & 98.33<=Phosphorus<145.0 & 138.33<=Potassium<205.0 & 20.44<=Temperature<32.06 & 71.41<=Humidity<99.98 & ~5.0<=Potassium<71.67,86.03174603174604
1,(93.33<=Nitrogen<140.0 & 51.67<=Phosphorus<98.33 & 5.0<=Potassium<71.67 & 20.44<=Temperature<32.06 & 71.41<=Humidity<99.98 & 20.21<=Rainfall<112.99 & ~0.0<=Nitrogen<46.67 & ~46.67<=Nitrogen<93.33 & ~5.0<=Phosphorus<51.67 & ~112.99<=Rainfall<205.78) | (46.67<=Nitrogen<93.33 & 51.67<=Phosphorus<98.33 & 5.0<=Potassium<71.67 & 20.44<=Temperature<32.06 & 71.41<=Humidity<99.98 & 5.65<=pH_Value<7.79 & 20.21<=Rainfall<112.99 & ~0.0<=Nitrogen<46.67 & ~93.33<=Nitrogen<140.0 & ~5.0<=Phosphorus<51.67 & ~112.99<=Rainfall<205.78) | (93.33<=Nitrogen<140.0 & 51.67<=Phosphorus<98.33 & 5.0<=Potassium<71.67 & 20.44<=Temperature<32.06 & 71.41<=Humidity<99.98 & 5.65<=pH_Value<7.79 & 112.99<=Rainfall<205.78 & ~0.0<=Nitrogen<46.67 & ~46.67<=Nitrogen<93.33 & ~5.0<=Phosphorus<51.67 & ~20.21<=Rainfall<112.99),89.44000000000001
2,(0.0<=Nitrogen<46.67 & 51.67<=Phosphorus<98.33 & 5.0<=Potassium<71.67 & 32.06<=Temperature<43.68 & 42.83<=Humidity<71.41 & 5.65<=pH_Value<7.79 & 20.21<=Rainfall<112.99 & ~46.67<=Nitrogen<93.33 & ~5.0<=Phosphorus<51.67 & ~20.44<=Temperature<32.06 & ~71.41<=Humidity<99.98 & ~3.5<=pH_Value<5.65 & ~112.99<=Rainfall<205.78) | (46.67<=Nitrogen<93.33 & 51.67<=Phosphorus<98.33 & 5.0<=Potassium<71.67 & 20.44<=Temperature<32.06 & 42.83<=Humidity<71.41 & 5.65<=pH_Value<7.79 & 20.21<=Rainfall<112.99 & ~0.0<=Nitrogen<46.67 & ~5.0<=Phosphorus<51.67 & ~32.06<=Temperature<43.68 & ~71.41<=Humidity<99.98 & ~3.5<=pH_Value<5.65 & ~112.99<=Rainfall<205.78) | (46.67<=Nitrogen<93.33 & 51.67<=Phosphorus<98.33 & 5.0<=Potassium<71.67 & 32.06<=Temperature<43.68 & 42.83<=Humidity<71.41 & 5.65<=pH_Value<7.79 & 20.21<=Rainfall<112.99 & ~0.0<=Nitrogen<46.67 & ~5.0<=Phosphorus<51.67 & ~20.44<=Temperature<32.06 & ~71.41<=Humidity<99.98 & ~3.5<=pH_Value<5.65 & ~112.99<=Rainfall<205.78),71.97282213055084
3,51.67<=Phosphorus<98.33 & 71.67<=Potassium<138.33 & 20.21<=Rainfall<112.99 & ~5.0<=Potassium<71.67 & ~20.44<=Temperature<32.06 & ~42.83<=Humidity<71.41 & ~71.41<=Humidity<99.98,98.19662276627139
4,(0.0<=Nitrogen<46.67 & 5.0<=Phosphorus<51.67 & 5.0<=Potassium<71.67 & 20.44<=Temperature<32.06 & 71.41<=Humidity<99.98 & 3.5<=pH_Value<5.65 & 112.99<=Rainfall<205.78 & ~46.67<=Nitrogen<93.33 & ~51.67<=Phosphorus<98.33 & ~5.65<=pH_Value<7.79 & ~20.21<=Rainfall<112.99 & ~205.78<=Rainfall<298.56) | (0.0<=Nitrogen<46.67 & 5.0<=Phosphorus<51.67 & 5.0<=Potassium<71.67 & 20.44<=Temperature<32.06 & 71.41<=Humidity<99.98 & 3.5<=pH_Value<5.65 & 205.78<=Rainfall<298.56 & ~46.67<=Nitrogen<93.33 & ~51.67<=Phosphorus<98.33 & ~5.65<=pH_Value<7.79 & ~20.21<=Rainfall<112.99 & ~112.99<=Rainfall<205.78) | (0.0<=Nitrogen<46.67 & 5.0<=Phosphorus<51.67 & 5.0<=Potassium<71.67 & 20.44<=Temperature<32.06 & 71.41<=Humidity<99.98 & 5.65<=pH_Value<7.79 & 112.99<=Rainfall<205.78 & ~46.67<=Nitrogen<93.33 & ~51.67<=Phosphorus<98.33 & ~3.5<=pH_Value<5.65 & ~20.21<=Rainfall<112.99 & ~205.78<=Rainfall<298.56) | (0.0<=Nitrogen<46.67 & 5.0<=Phosphorus<51.67 & 5.0<=Potassium<71.67 & 20.44<=Temperature<32.06 & 71.41<=Humidity<99.98 & 5.65<=pH_Value<7.79 & 205.78<=Rainfall<298.56 & ~46.67<=Nitrogen<93.33 & ~51.67<=Phosphorus<98.33 & ~3.5<=pH_Value<5.65 & ~20.21<=Rainfall<112.99 & ~112.99<=Rainfall<205.78),91.18589743589745
5,~71.41<=Humidity<99.98 & ~20.21<=Rainfall<112.99,78.36065573770492
6,93.33<=Nitrogen<140.0 & 5.0<=Phosphorus<51.67 & 5.0<=Potassium<71.67 & 20.44<=Temperature<32.06 & 71.41<=Humidity<99.98 & 20.21<=Rainfall<112.99 & ~0.0<=Nitrogen<46.67 & ~51.67<=Phosphorus<98.33 & ~5.65<=pH_Value<7.79,55.16304347826087
7,(0.0<=Nitrogen<46.67 & 98.33<=Phosphorus<145.0 & 138.33<=Potassium<205.0 & 71.41<=Humidity<99.98 & 20.21<=Rainfall<112.99 & ~5.0<=Potassium<71.67 & ~20.44<=Temperature<32.06) | (0.0<=Nitrogen<46.67 & 98.33<=Phosphorus<145.0 & 71.41<=Humidity<99.98 & 20.21<=Rainfall<112.99 & ~5.0<=Potassium<71.67 & ~20.44<=Temperature<32.06 & ~5.65<=pH_Value<7.79) | (0.0<=Nitrogen<46.67 & 138.33<=Potassium<205.0 & 20.44<=Temperature<32.06 & 71.41<=Humidity<99.98 & 5.65<=pH_Value<7.79 & 20.21<=Rainfall<112.99 & ~98.33<=Phosphorus<145.0 & ~5.0<=Potassium<71.67),85.4488188976378
8,(5.0<=Phosphorus<51.67 & 5.0<=Potassium<71.67 & 20.44<=Temperature<32.06 & 71.41<=Humidity<99.98 & 5.65<=pH_Value<7.79 & 112.99<=Rainfall<205.78 & ~0.0<=Nitrogen<46.67 & ~51.67<=Phosphorus<98.33 & ~42.83<=Humidity<71.41 & ~20.21<=Rainfall<112.99) | (46.67<=Nitrogen<93.33 & 51.67<=Phosphorus<98.33 & 5.0<=Potassium<71.67 & 20.44<=Temperature<32.06 & 42.83<=Humidity<71.41 & 5.65<=pH_Value<7.79 & 112.99<=Rainfall<205.78 & ~0.0<=Nitrogen<46.67 & ~5.0<=Phosphorus<51.67 & ~71.41<=Humidity<99.98 & ~20.21<=Rainfall<112.99) | (46.67<=Nitrogen<93.33 & 51.67<=Phosphorus<98.33 & 5.0<=Potassium<71.67 & 20.44<=Temperature<32.06 & 71.41<=Humidity<99.98 & 5.65<=pH_Value<7.79 & 112.99<=Rainfall<205.78 & ~0.0<=Nitrogen<46.67 & ~5.0<=Phosphorus<51.67 & ~42.83<=Humidity<71.41 & ~20.21<=Rainfall<112.99),95.21531100478468
9,(0.0<=Nitrogen<46.67 & 51.67<=Phosphorus<98.33 & 5.0<=Potassium<71.67 & 8.83<=Temperature<20.44 & 14.26<=Humidity<42.83 & 3.5<=pH_Value<5.65 & 20.21<=Rainfall<112.99 & ~46.67<=Nitrogen<93.33 & ~93.33<=Nitrogen<140.0 & ~5.0<=Phosphorus<51.67 & ~71.67<=Potassium<138.33 & ~20.44<=Temperature<32.06 & ~42.83<=Humidity<71.41 & ~71.41<=Humidity<99.98 & ~5.65<=pH_Value<7.79 & ~112.99<=Rainfall<205.78) | (0.0<=Nitrogen<46.67 & 51.67<=Phosphorus<98.33 & 5.0<=Potassium<71.67 & 8.83<=Temperature<20.44 & 14.26<=Humidity<42.83 & 5.65<=pH_Value<7.79 & 20.21<=Rainfall<112.99 & ~46.67<=Nitrogen<93.33 & ~93.33<=Nitrogen<140.0 & ~5.0<=Phosphorus<51.67 & ~71.67<=Potassium<138.33 & ~20.44<=Temperature<32.06 & ~42.83<=Humidity<71.41 & ~71.41<=Humidity<99.98 & ~3.5<=pH_Value<5.65 & ~112.99<=Rainfall<205.78) | (0.0<=Nitrogen<46.67 & 51.67<=Phosphorus<98.33 & 5.0<=Potassium<71.67 & 20.44<=Temperature<32.06 & 14.26<=Humidity<42.83 & 5.65<=pH_Value<7.79 & 20.21<=Rainfall<112.99 & ~46.67<=Nitrogen<93.33 & ~93.33<=Nitrogen<140.0 & ~5.0<=Phosphorus<51.67 & ~71.67<=Potassium<138.33 & ~8.83<=Temperature<20.44 & ~42.83<=Humidity<71.41 & ~71.41<=Humidity<99.98 & ~3.5<=pH_Value<5.65 & ~112.99<=Rainfall<205.78) | (0.0<=Nitrogen<46.67 & 51.67<=Phosphorus<98.33 & 5.0<=Potassium<71.67 & 20.44<=Temperature<32.06 & 14.26<=Humidity<42.83 & 5.65<=pH_Value<7.79 & 112.99<=Rainfall<205.78 & ~46.67<=Nitrogen<93.33 & ~93.33<=Nitrogen<140.0 & ~5.0<=Phosphorus<51.67 & ~71.67<=Potassium<138.33 & ~8.83<=Temperature<20.44 & ~42.83<=Humidity<71.41 & ~71.41<=Humidity<99.98 & ~3.5<=pH_Value<5.65 & ~20.21<=Rainfall<112.99),87.98835234166464
